genre,subgenre,tags,
blues,rhythm & blues,blues,r&b
brass & military,,,
children's,,children's music,
classical,early,classical,early classical
classical,impressionist,classical,impressionism
classical,neo-classical,classical,neoclassicism
electronic,abstract,electronic,abstract electronic
electronic,acid,electronic,acid
electronic,drum n bass,electronic,drum and bass
electronic,hardcore,electronic,hardcore
electronic,jazzdance,electronic,jazzdance
electronic,tribal,electronic,tribal
"folk, world, & country",,,
"folk, world, & country",african,,
"folk, world, & country",hindustani,hindustani classical,
"folk, world, & country",nordic,nordic folk,
"folk, world, & country",pacific,,
"folk, world, & country",romani,,
funk / soul,,,
funk / soul,afrobeat,afrobeat,
funk / soul,bayou funk,bayou funk,
funk / soul,contemporary r&b,contemporary r&b,
funk / soul,disco,disco,
funk / soul,funk,funk,
funk / soul,gospel,gospel,
funk / soul,neo soul,neo soul,
funk / soul,p.funk,p.funk,
funk / soul,psychedelic,psychedelic,
funk / soul,rhythm & blues,r&b,
funk / soul,soul,soul,
hip hop,bass music,hip hop,bass music
hip hop,cut-up/dj,,
hip hop,gangsta,hip hop,gangsta rap
hip hop,jazzy hip-hop,hip hop,jazz rap
hip hop,rnb/swing,,
jazz,bop,jazz,bebop
latin,cubano,latin,cuban
latin,nueva cancion,latin,nueva canción
pop,chanson,pop,chanson française
pop,vocal,pop,vocal
rock,beat,rock,beat music
rock,crust,rock,crust punk
rock,ethereal,rock,ethereal wave
rock,hardcore,rock,hardcore
rock,prog rock,rock,progressive rock
rock,rock & roll,rock,rock and roll
rock,thrash,rock,thrash metal
stage & screen,,,
stage & screen,soundtrack,soundtrack,