genre,subgenre,tags,,
electronic,abstract,electronic,abstract,
electronic,acid,electronic,acid,
electronic,drumnbass,electronic,drum and bass,
hiphop,eastcoast,hip hop,east coast hip hop,
hiphop,germanhiphop,hip hop,german hip hop,
hiphop,jazzhop,hip hop,jazz rap,
hiphop,rap,hip hop,rap,
hiphop,westcoast,hip hop,west coast hip hop,
jazz,bop,jazz,bebop,
jazz,modernjazz,jazz,modern jazz,
metal,classicmetal,metal,classic metal,
metal,epicmetal,metal,epic metal,
metal,melodicmetal,metal,melodic metal,
metal,norwegian,metal,norwegian metal,
metal,paganmetal,metal,pagan metal,
metal,progressivedeathmetal,metal,progressive death metal,
oldie,,,,
oldie,doowop,doo-wop,,
pop,adultcontemporary,pop,adult contemporary,
pop,classicpop,pop,classic pop,
rock,american,rock,american,american rock
rock,britishinvasion,rock,british invasion,
rock,rocknroll,rock,rock and roll,
soul,rnb,soul,r&b,
soul,urban,soul,urban soul,
soundtrack,,soundtrack,,
world,,,,